Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Magnetic susceptibility (SI x 10^-5),Configuration filename,Timestamp (UTC),Instrument,Instrument group,Text ID,Comments
374,U1523,E,1,H,3,A,147.5,4.475,4.312,31.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,4,A,2.5,4.525,4.360,6.33,374-MSPOINT-45192531-i_pi_ms.ini,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,5.0,4.55,4.384,18.67,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,7.5,4.575,4.408,20.00,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,10.0,4.6,4.432,21.00,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,12.5,4.625,4.456,40.33,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,15.0,4.65,4.481,32.33,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,17.5,4.675,4.505,30.00,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,20.0,4.7,4.529,33.00,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,22.5,4.725,4.553,27.00,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,25.0,4.75,4.577,21.67,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,27.5,4.775,4.601,18.33,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,30.0,4.8,4.625,17.00,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,32.5,4.825,4.649,22.00,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,35.0,4.85,4.673,16.67,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,37.5,4.875,4.697,17.67,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,40.0,4.9,4.721,15.33,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,42.5,4.925,4.745,17.00,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,45.0,4.95,4.769,20.33,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,47.5,4.975,4.794,19.00,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
374,U1523,E,1,H,4,A,50.0,5,4.818,19.33,,2018-02-03 09:17:39,MS2K-695,SHMSL,SHLF9348811,
